Product_ID,Category,Store_Name,Customer_Name,Sales_Volume,Stock_Level,Demand_Forecast,Sentiment_Score,Seasonal,Last_Restock_Date,Manufacturer_ID,Product_Suggestion,Predictive_Alert,User_Bought_Products,Latitude,Longitude
Pet_Collar,Groceries,Store_G,Customer_48,144,169,261,-0.95,No,07-10-2024,Manufacturer_7,Treats,False,"['Womens_Dress', 'Perfume', 'Dog_Food', 'Pet_Toys', 'Fridge']",47.6062,-122.3321
Wireless_Headphones,Electronics,Store_E,Customer_87,248,61,154,0.89,Yes,15-10-2024,Manufacturer_19,Pasta,True,['Whole_Wheat_Bread'],33.4484,-112.074
Washing_Machine,Pet Supplies,Store_R,Customer_6,413,125,100,-0.83,No,23-09-2024,Manufacturer_18,Blood_Pressure_Monitor,True,"['Shampoo', 'Whole_Wheat_Bread']",45.5122,-122.6587
Iron,Groceries,Store_G,Customer_40,247,152,115,0.35,Yes,18-09-2024,Manufacturer_19,Jeans,False,"['Power_Bank', 'Power_Bank', 'Womens_Dress', 'Pasta']",47.6062,-122.3321
Shampoo,Groceries,Store_J,Customer_83,289,170,133,0.38,No,11-10-2024,Manufacturer_4,Mens_T_Shirt,False,['Pet_Collar'],30.2672,-97.7431
Deodorant,Personal Care,Store_B,Customer_100,70,127,190,-0.25,Yes,11-10-2024,Manufacturer_12,Sneakers,False,"['Face_Cream', 'Fitness_Tracker']",34.0522,-118.2437
Olive_Oil,Groceries,Store_R,Customer_80,408,78,285,0.05,Yes,13-10-2024,Manufacturer_1,Sugar,True,"['Pet_Collar', 'Microwave_Oven', 'Wireless_Headphones']",45.5122,-122.6587
Treats,Electronics,Store_J,Customer_25,13,154,125,-0.54,No,18-09-2024,Manufacturer_16,Womens_Dress,True,"['Sneakers', 'Fridge', 'Sunglasses', 'Shampoo', 'Air_Purifier']",30.2672,-97.7431
Handbag,Pet Supplies,Store_N,Customer_4,413,131,109,-0.48,Yes,23-09-2024,Manufacturer_18,Chicken_Breast,True,"['Jacket', 'Handbag', 'Digital_Camera', 'Scarf', 'Gaming_Console']",38.9072,-77.0369
Grooming_Kit,Home Essentials,Store_M,Customer_46,472,74,63,0.56,Yes,06-10-2024,Manufacturer_6,Pet_Collar,True,"['Laptop', 'Fitness_Tracker', 'Sneakers']",36.1699,-115.1398
Olive_Oil,Groceries,Store_N,Customer_54,184,129,133,0.94,No,13-10-2024,Manufacturer_5,Digital_Camera,False,"['Smart_Watch', 'Sneakers', 'Pasta', 'Protein_Shake', 'Sunscreen']",38.9072,-77.0369
Dining_Set,Fashion,Store_L,Customer_58,365,100,193,0.31,Yes,24-09-2024,Manufacturer_7,Toothpaste,True,['USB_C_Charger'],25.7617,-80.1918
Sugar,Fashion,Store_L,Customer_69,117,83,293,0.27,No,03-10-2024,Manufacturer_6,Cookware_Set,True,"['Kitchen_Blender', 'Olive_Oil', 'Pain_Relief_Tablets']",25.7617,-80.1918
Bluetooth_Speaker,Pet Supplies,Store_H,Customer_28,118,164,249,0.74,Yes,07-09-2024,Manufacturer_19,Dining_Set,True,"['Pet_Carrier', 'Chicken_Breast', 'Perfume', 'Womens_Dress']",32.7157,-117.1611
Pet_Bed,Electronics,Store_A,Customer_88,384,188,122,-0.54,No,29-09-2024,Manufacturer_14,USB_C_Charger,False,['Blood_Pressure_Monitor'],40.7128,-74.006
Air_Purifier,Electronics,Store_F,Customer_93,47,193,38,-0.63,Yes,12-10-2024,Manufacturer_3,Soap,False,"['Leash', 'Digital_Camera']",39.7392,-104.9903
Soap,Fashion,Store_K,Customer_81,292,120,37,0.13,Yes,06-09-2024,Manufacturer_5,Wireless_Headphones,False,"['Toothpaste', 'Health_Bar', 'Iron']",42.3601,-71.0589
Fridge,Health,Store_G,Customer_5,31,160,300,-0.44,No,06-10-2024,Manufacturer_5,Olive_Oil,True,"['Fresh_Milk', 'Deodorant', 'Microwave_Oven', 'Soap', 'Sports_Bottle']",47.6062,-122.3321
Pain_Relief_Tablets,Personal Care,Store_D,Customer_27,300,21,24,0.18,No,06-09-2024,Manufacturer_16,Deodorant,True,"['Air_Purifier', 'Smart_Watch', 'Dining_Set', 'Iron']",29.7604,-95.3698
Pet_Shampoo,Pet Supplies,Store_I,Customer_26,397,77,184,0.08,Yes,09-10-2024,Manufacturer_3,Soap,False,"['Pet_Toys', 'Scarf', 'Pasta', 'Pet_Shampoo']",37.7749,-122.4194
Face_Cream,Fashion,Store_J,Customer_17,354,65,103,-0.51,Yes,14-09-2024,Manufacturer_5,Mens_T_Shirt,False,"['Sunglasses', 'Rice', 'Salt', 'Womens_Sandals', 'Olive_Oil']",30.2672,-97.7431
Womens_Sandals,Fashion,Store_C,Customer_20,108,94,179,0.45,No,29-08-2024,Manufacturer_6,Toothpaste,False,['USB_C_Charger'],41.8781,-87.6298
